"Countries.and.areas","Region","Sub-region","Development.regions","Sex","Copied or moved a file or folder","Used a copy and paste tool to duplicate or move information within a document","Sent e-mail with attached file, such as a document, picture or video","Used a basic arithmetic formula in a spreadsheet","Connected and installed a new device, such as a modem, camera or printer","Found, downloaded, installed and configured software","Created an electronic presentation with presentation software, including text, images, sound, video or charts","Transferred a file between a computer and other device","Wrote a computer program in any programming language","Total","Located in rural area","Located in urban area","20th wealth percentile","20th - 40th wealth percentile","40th - 60th wealth percentile","60th - 80th wealth percentile","80th - 100th wealth percentile","Data Source","Year"
"Algeria","MENA","MENA","Less Developed","Female","24.424051284790039","24.581399917602539","19.214347839355469","13.219030380249023","14.407340049743652","15.989145278930664","13.098823547363281","17.183145523071289","11.246236801147461","27.880683898925781","18.778194427490234","32.811431884765625","7.6091370582580566","14.313962936401367","22.206375122070313","34.513439178466797","53.202247619628906","MICS","2018-19"
"Bangladesh","SA","SA","Least Developed","Female","1.378747820854187","1.2437813282012939","1.0931404829025269","0.61819684505462646","0.84983056783676147","1.4815291166305542","0.6967887282371521","0.96534043550491333","0.30649575591087341","2.2764286994934082","1.0652672052383423","6.216400146484375","0.1494954526424408","0.58198434114456177","0.42867782711982727","1.1012169122695923","8.2185077667236328","MICS","2019"
"Central African Republic","SSA","WCA","Least Developed","Female","1.1083234548568726","1.0825425386428833","0.98684513568878174","0.41989907622337341","0.58878535032272339","0.8473171591758728","0.47217476367950439","0.77076894044876099","0.32396978139877319","1.479109525680542","6.9306172430515289E-2","3.4879691600799561","0","0","0","0","6.1755666732788086","MICS","2018-19"
"Central African Republic","SSA","WCA","Least Developed","Male","3.6595363616943359","3.2144978046417236","2.5386755466461182","0.91180384159088135","1.111079216003418","2.1307568550109863","0.68060189485549927","3.0962283611297607","0.33008038997650146","4.3760194778442383","0.32373949885368347","9.1573972702026367","0","0.94808840751647949","0.28263816237449646","2.3246893882751465","12.927543640136719","MICS","2018-19"
"Chad","SSA","WCA","Least Developed","Female","0.65563362836837769","0.63386416435241699","0.48203659057617188","0.18911494314670563","0.15854455530643463","0.38701874017715454","0.24477562308311462","0.41219010949134827","0.20752355456352234","1.0135704278945923","0.14231021702289581","4.3204951286315918","7.6474651694297791E-2","5.8319121599197388E-2","2.2935804445296526E-3","0.24977952241897583","4.2151741981506348","MICS","2019"
"Chad","SSA","WCA","Least Developed","Male","2.1281554698944092","1.9461506605148315","1.3757048845291138","0.57257086038589478","0.89211279153823853","1.0200494527816772","0.57487833499908447","1.3216588497161865","0.28293731808662415","2.7079696655273438","0.70035868883132935","9.5314922332763672","0.41265934705734253","1.2196513414382935","0.24561938643455505","1.1320102214813232","8.5459728240966797","MICS","2019"
"Cuba","LAC","LAC","Less Developed","Female","51.1763916015625","46.768924713134766","28.520393371582031","16.199071884155273","24.592058181762695","11.005504608154297","22.043483734130859","43.962749481201172","5.8941178321838379","57.289741516113281","39.806045532226563","65.520347595214844","82.655586242675781","64.551231384277344","54.276519775390625","41.592201232910156","33.426654815673828","MICS","2019"
"Cuba","LAC","LAC","Less Developed","Male","44.759414672851563","37.137042999267578","18.593233108520508","14.572107315063477","18.20665168762207","15.529277801513672","17.557653427124023","41.334854125976563","6.8944463729858398","48.738834381103516","27.15437126159668","59.581893920898438","73.379745483398438","56.845527648925781","43.577938079833984","37.216259002685547","18.108894348144531","MICS","2019"
"Democratic Republic of the Congo","SSA","WCA","Least Developed","Female","2.8616135120391846","2.9357233047485352","1.6093218326568604","1.8245047330856323","1.1182528734207153","0.84485340118408203","0.93605899810791016","1.8485283851623535","0.59512567520141602","4.1744065284729004","9.2016793787479401E-2","8.1292915344238281","0","0.25513201951980591","0.22739514708518982","2.8815484046936035","13.74824047088623","MICS","2017-18"
"Democratic Republic of the Congo","SSA","WCA","Least Developed","Male","10.331860542297363","10.90498161315918","5.786799430847168","4.2221598625183105","3.9116270542144775","3.8480057716369629","1.6775747537612915","8.2313652038574219","1.1718922853469849","13.276034355163574","2.0828571319580078","24.335140228271484","4.8538073897361755E-2","1.4721280336380005","2.0778136253356934","12.780181884765625","38.974636077880859","MICS","2017-18"
